Course Name,Course Description,Credits,Section Type,CRN,Available Seats,Total Seats,Days,Time,Location,Instructor,Requirements
CS 111,Intro Web Programming >4,4.00,+ Lab,11414,7,26,1000-1050,m,B026 KLA,Osei F,!
CS 111,Intro Web Programming >4,4.00,+ Lab,15618,7,26,1100-1150,m,B026 KLA,Osei F,!
CS 111,Intro Web Programming >4,4.00,+ Lab,15619,16,26,1200-1250,m,B026 KLA,Osei F,!
CS 111,Intro Web Programming >4,4.00,+ Lab,15620,20,26,1300-1350,m,B026 KLA,Dang Q,!
CS 111,Intro Web Programming >4,4.00,+ Lab,15621,10,26,1000-1050,t,B026 KLA,Dang Q,!
CS 111,Intro Web Programming >4,4.00,+ Lab,15622,9,26,1100-1150,t,B026 KLA,Dang Q,!
CS 122,Intro Prg & Prob Solv >4,4.00,Lecture,11415,5,204,1000-1120,tr,123 GSH,Colbert P,!8U
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,11416,0,30,1300-1350,w,B026 KLA,Kale S,!
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,11417,0,30,1400-1450,w,B026 KLA,Daggubati N,!
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,11418,0,27,1600-1650,w,B026 KLA,Daggubati N,!U
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,11419,3,30,1700-1750,w,B026 KLA,Daggubati N,!
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,11420,1,27,1600-1650,r,B026 KLA,Kale S,!U
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,11421,0,30,1700-1750,r,B026 KLA,Yuan J,!
CS 122,Intro Prg & Prob Solv >4,4.00,+ Lab,16627,1,30,1600-1650,f,B026 KLA,Yuan J,!
CS 210,Computer Science I >4,4.00,Lecture,11423,8,201,1000-1120,tr,123 PAC,Young M,!A8U
CS 210,Computer Science I >4,4.00,+ Lab,11424,0,28,1200-1250,t,B026 KLA,Zhang R,!U
CS 210,Computer Science I >4,4.00,+ Lab,11425,2,30,1300-1350,t,B026 KLA,Zhang R,!
CS 210,Computer Science I >4,4.00,+ Lab,11426,3,30,1600-1650,t,B026 KLA,Palmstrom L,!
CS 210,Computer Science I >4,4.00,+ Lab,11427,1,30,1700-1750,t,B026 KLA,Palmstrom L,!
CS 210,Computer Science I >4,4.00,+ Lab,11428,0,30,1100-1150,w,B026 KLA,Hassan N,!
CS 210,Computer Science I >4,4.00,+ Lab,11429,1,30,1200-1250,w,B026 KLA,Hassan N,!
CS 210,Computer Science I >4,4.00,+ Lab,16608,1,23,0800-0850,r,B026 KLA,Zhang R,!
CS 212,Computer Science III >4,4.00,Lecture,11431,1,150,1000-1120,tr,101 LLCS,Childs H,!A8
CS 212,Computer Science III >4,4.00,+ Lab,11432,0,30,1400-1450,t,B026 KLA,Majumder M,!
CS 212,Computer Science III >4,4.00,+ Lab,11433,0,30,1500-1550,t,B026 KLA,Majumder M,!
CS 212,Computer Science III >4,4.00,+ Lab,11434,0,30,0900-0950,w,B026 KLA,Mathai M,!
CS 212,Computer Science III >4,4.00,+ Lab,11435,0,30,1000-1050,w,B026 KLA,Mathai M,!
CS 212,Computer Science III >4,4.00,+ Lab,16556,1,30,1800-1850,w,B026 KLA,Majumder M,!
CS 313,Interm Data Structures,4.00,Lecture,11437,9,84,1200-1250,mwf,229 MCK,Lowd D,!MA
CS 313,Interm Data Structures,4.00,+ Lab,11438,3,28,0900-0950,t,B026 KLA,Soh Y,!
CS 313,Interm Data Structures,4.00,+ Lab,11439,4,28,1000-1050,r,B026 KLA,Soh Y,!
CS 313,Interm Data Structures,4.00,+ Lab,11440,2,28,1100-1150,r,B026 KLA,Soh Y,!
CS 314,Computer Organization,4.00,Lecture,11441,5,90,1300-1350,mwf,229 MCK,Wills E,!MA9
CS 314,Computer Organization,4.00,+ Lab,11442,1,30,1400-1450,m,B026 KLA,Baruwa A,!
CS 314,Computer Organization,4.00,+ Lab,11443,3,30,1200-1250,r,B026 KLA,Baruwa A,!
CS 314,Computer Organization,4.00,+ Lab,11444,1,30,1300-1350,r,B026 KLA,Baruwa A,!
CS 322,Intro Software Engin,4.00,Lecture,15623,14,48,1600-1720,tr,B040 PSC,Hassani A,!
CS 322,Intro Software Engin,4.00,+ Dis,16668,3,24,1400-1450,f,214 FR,Chen A,!
CS 322,Intro Software Engin,4.00,+ Dis,16669,11,24,1500-1550,f,214 FR,Chen A,!
CS 401,Res Excel Undergrad,1.00,Lecture,11446,7,7,-,N/A,N/A,Haley M,!8
CS 401,Research,1.00-16.00,Lecture,11445,14,15,tba,tba,tba,STAFF,!M
CS 402,Superv College Teach,1.00-2.00,Lecture,11447,10,10,-,N/A,N/A,Freeman Hennessy K,!M8
CS 402,Superv College Teach,1.00-2.00,Lecture,11447,10,10,-,N/A,N/A,Freeman Hennessy K,!M8
CS 403,Thesis,1.00-12.00,Lecture,11448,13,15,tba,tba,tba,STAFF,!M
CS 404,Internship,1.00-4.00,Lecture,11449,13,15,tba,tba,tba,STAFF,!M
CS 405,Reading,1.00-12.00,Lecture,11450,15,15,tba,tba,tba,STAFF,!M
CS 406,Practicum,1.00-2.00,Lecture,11451,15,15,tba,tba,tba,STAFF,!M
CS 407,Sem Career/Internships,2.00,Lecture,11452,7,25,1530-1650,m,220 DES,Wills E,!M8
CS 407,Sem Prog Competition,2.00,Lecture,11453,6,10,1700-1820,m,260 DES,Wilson C,!M
CS 407,Sem CPS/IoT Security,2.00,Lecture,16641,8,10,1600-1720,r,200 DES,Li J,!
CS 410,Multi-Agent Systems,4.00,Lecture,11455,22,25,1600-1720,wf,253 STB,Nguyen T,!M
CS 415,Operating Systems,4.00,Lecture,11457,13,75,1600-1720,tr,240A MCK,Malony A,!MA
CS 415,Operating Systems,4.00,+ Lab,11458,0,25,1500-1550,w,B026 KLA,Yokelson D,N/A
CS 415,Operating Systems,4.00,+ Lab,11459,13,25,1400-1450,r,B026 KLA,Yokelson D,N/A
CS 415,Operating Systems,4.00,+ Lab,11460,0,25,1500-1550,r,B026 KLA,Yokelson D,N/A
CS 420,Automata Theory,4.00,Lecture,15624,11,25,1400-1520,mw,260 CON,Wilson C,!
CS 422,Software Method I,4.00,Lecture,11461,8,35,1000-1120,mw,B040 PSC,Flores J,!MA
